%time,field.data
1760177498989740600,4.009
1760177499240573800,4.01
1760177499491426500,4.01
1760177499741788500,4.01
1760177499992861700,4.01
1760177500243887100,4.01
1760177500494573400,4.01
1760177500745115200,4.01
1760177500991144200,4.011
1760177501241347400,4.011
1760177501492369900,4.011
1760177501743084100,4.011
1760177501993785600,4.011
1760177502244953800,4.011
1760177502495823700,4.01
1760177502746504600,4.01
1760177502991860400,4.01
1760177503242573400,4.009
1760177503493377000,4.009
1760177503744362500,4.009
1760177503995079000,4.009
1760177504246227800,4.009
1760177504496975300,4.009
1760177504747819200,4.009
1760177504992901300,4.009
1760177505243699400,4.009
1760177505494577500,4.009
1760177505745426000,4.01
1760177505996755700,4.01
1760177506247089500,4.01
1760177506498017400,4.01
1760177506748732500,4.01
1760177506994197500,4.01
1760177507244906500,4.01
1760177507496117000,4.011
1760177507746575500,4.011
1760177507997389100,4.011
1760177508248702600,4.011
1760177508499066000,4.011
1760177508750077100,4.011
1760177508995357600,4.011
1760177509246063600,4.01
1760177509496792500,4.01
1760177509747611900,4.01
1760177509998619300,4.01
1760177510249306500,4.01
1760177510500273300,4.009
1760177510750976800,4.009
1760177510996322100,4.009
1760177511247348700,4.009
1760177511497846300,4.009
1760177511748731200,4.009
1760177511999562000,4.009
1760177512250988900,4.009
1760177512501291000,4.009
1760177512752294900,4.009
1760177512997322400,4.009
1760177513248176200,4.009
1760177513498967400,4.01
1760177513750004600,4.01
1760177514001038100,4.01
1760177514251427100,4.01
1760177514503035300,4.01
1760177514753120000,4.01
1760177514998420600,4.01
1760177515249171300,4.011
1760177515499942500,4.011
1760177515751238100,4.011
1760177516002012700,4.011
1760177516252649400,4.011
1760177516503891100,4.011
1760177516754416400,4.011
