%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482350432441100,4680,1758482350432206600,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482350682713100,4681,1758482350682473200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482350933286000,4682,1758482350932956900,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482351179690400,4683,1758482351179490100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482351429447700,4684,1758482351429227700,,12.600000381469727,0.0,-28.44999885559082,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482351681125100,4685,1758482351680874600,,12.600000381469727,0.0,-28.329999923706055,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482351932036000,4686,1758482351931859800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482352182504500,4687,1758482352182281300,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482352433350000,4688,1758482352433129800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482352684073100,4689,1758482352683860800,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482352935257900,4690,1758482352935060400,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482353180442700,4691,1758482353180167000,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482353431215700,4692,1758482353430958000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482353682597500,4693,1758482353682367000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482353932558500,4694,1758482353932351000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482354183664800,4695,1758482354183423300,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482354435263500,4696,1758482354435049400,,12.600000381469727,0.0,-28.43000030517578,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482354685372700,4697,1758482354685155100,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482354935943100,4698,1758482354935761300,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482355182241200,4699,1758482355181999600,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482355434055900,4700,1758482355433835400,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9599999785423279,2,0,0,1,12.600000381469727,id0,
1758482355682939200,4701,1758482355682717100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482355934555300,4702,1758482355934355600,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482356185006000,4703,1758482356184710400,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482356438189200,4704,1758482356438030600,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482356686670600,4705,1758482356686432200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482356937765700,4706,1758482356937539800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482357181896400,4707,1758482357181662100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482357433708800,4708,1758482357433348200,,12.600000381469727,0.0,-28.399999618530273,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482357683314100,4709,1758482357682994000,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
